Income_Group,Income_Type,Population_Type,Description,Income_Measure,Value_Type,Value,Population
2,Income Quantiles,Household,Multiple families without children,Equivalised Disposable Income,Equivalised Disposable Income,26000,9000
3,Income Quantiles,Household,Multiple families without children,Equivalised Disposable Income,Equivalised Disposable Income,30000,7000
4,Income Quantiles,Household,Multiple families without children,Equivalised Disposable Income,Equivalised Disposable Income,32000,9000
5,Income Quantiles,Household,Multiple families without children,Equivalised Disposable Income,Equivalised Disposable Income,34000,14000
6,Income Quantiles,Household,Multiple families without children,Equivalised Disposable Income,Equivalised Disposable Income,38000,16000
7,Income Quantiles,Household,Multiple families without children,Equivalised Disposable Income,Equivalised Disposable Income,41000,17000
8,Income Quantiles,Household,Multiple families without children,Equivalised Disposable Income,Equivalised Disposable Income,45000,17000
9,Income Quantiles,Household,Multiple families without children,Equivalised Disposable Income,Equivalised Disposable Income,49000,18000
10,Income Quantiles,Household,Multiple families without children,Equivalised Disposable Income,Equivalised Disposable Income,53000,19000
11,Income Quantiles,Household,Multiple families without children,Equivalised Disposable Income,Equivalised Disposable Income,58000,21000
12,Income Quantiles,Household,Multiple families without children,Equivalised Disposable Income,Equivalised Disposable Income,62000,21000
13,Income Quantiles,Household,Multiple families without children,Equivalised Disposable Income,Equivalised Disposable Income,67000,26000
14,Income Quantiles,Household,Multiple families without children,Equivalised Disposable Income,Equivalised Disposable Income,72000,27000
15,Income Quantiles,Household,Multiple families without children,Equivalised Disposable Income,Equivalised Disposable Income,78000,25000
16,Income Quantiles,Household,Multiple families without children,Equivalised Disposable Income,Equivalised Disposable Income,85000,25000
17,Income Quantiles,Household,Multiple families without children,Equivalised Disposable Income,Equivalised Disposable Income,93000,28000
18,Income Quantiles,Household,Multiple families without children,Equivalised Disposable Income,Equivalised Disposable Income,104000,23000
19,Income Quantiles,Household,Multiple families without children,Equivalised Disposable Income,Equivalised Disposable Income,124000,20000
20,Income Quantiles,Household,Multiple families without children,Equivalised Disposable Income,Equivalised Disposable Income,184000,10000
1,Income Quantiles,Household,With children,Equivalised Disposable Income,Equivalised Disposable Income,16000,24000
2,Income Quantiles,Household,With children,Equivalised Disposable Income,Equivalised Disposable Income,26000,26000
3,Income Quantiles,Household,With children,Equivalised Disposable Income,Equivalised Disposable Income,29000,14000
4,Income Quantiles,Household,With children,Equivalised Disposable Income,Equivalised Disposable Income,32000,25000
5,Income Quantiles,Household,With children,Equivalised Disposable Income,Equivalised Disposable Income,35000,34000
6,Income Quantiles,Household,With children,Equivalised Disposable Income,Equivalised Disposable Income,38000,46000
7,Income Quantiles,Household,With children,Equivalised Disposable Income,Equivalised Disposable Income,41000,44000
8,Income Quantiles,Household,With children,Equivalised Disposable Income,Equivalised Disposable Income,45000,45000
9,Income Quantiles,Household,With children,Equivalised Disposable Income,Equivalised Disposable Income,49000,41000
10,Income Quantiles,Household,With children,Equivalised Disposable Income,Equivalised Disposable Income,53000,39000
11,Income Quantiles,Household,With children,Equivalised Disposable Income,Equivalised Disposable Income,58000,39000
12,Income Quantiles,Household,With children,Equivalised Disposable Income,Equivalised Disposable Income,62000,38000
13,Income Quantiles,Household,With children,Equivalised Disposable Income,Equivalised Disposable Income,67000,32000
14,Income Quantiles,Household,With children,Equivalised Disposable Income,Equivalised Disposable Income,72000,30000
15,Income Quantiles,Household,With children,Equivalised Disposable Income,Equivalised Disposable Income,78000,29000
16,Income Quantiles,Household,With children,Equivalised Disposable Income,Equivalised Disposable Income,84000,27000
17,Income Quantiles,Household,With children,Equivalised Disposable Income,Equivalised Disposable Income,93000,24000
18,Income Quantiles,Household,With children,Equivalised Disposable Income,Equivalised Disposable Income,105000,23000
19,Income Quantiles,Household,With children,Equivalised Disposable Income,Equivalised Disposable Income,124000,22000
